Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
4	3765.40624210619	941.351560526547	191.473233376609	0.263029569867506	0.001
9	5600.55604267309	622.284004741455	126.574104152698	0.391222554010315	0.001
4	1806.15783076355	451.539457690888	91.8442413935498	0.126167772291372	0.001
1	580.223321341606	580.223321341606	118.018857222322	0.0405310558348181	0.001
36	395.065771865402	10.9740492184834	2.23214872658386	0.0275970169914539	0.001
441	2168.11525491751	4.91636112226193	NA	0.151452031004534	NA
495	14315.5244636674	NA	NA	1	NA
