id	Brahman	Chepang-Thami	Chettri	Dalit	Gurung-Magar	Madhesi	Muslim-Others	Newar	Rai-Limbu	Tamang
Dhading	0.131838687628161	0.199207271236247	0.0989593793467669	0.137445355862272	0.188563049853372	0.0636842105263158	0.0971806726498051	0.118697433056863	0.0305022270004608	0.0888915460958986
Dolakha	0.0686078833447255	0.357001298435044	0.186367051227694	0.0689621297706174	0.0267228739002933	0.025	0.0268334693137522	0.10158447881288	0.1709722008908	0.0571995695324644
Gorkha	0.118869902027797	0.0522107565092599	0.0674506653575227	0.174664767424726	0.309261974584555	0.123947368421053	0.31012600852144	0.0860895296124076	0.0393180771002918	0.0114600023914863
Kavrepalanchok	0.194932786511734	0.000888402924895783	0.102790112988047	0.102816935998821	0.0492057673509286	0.0394736842105263	0.082585441029825	0.167179277874145	0.00761787743818154	0.150644505560206
Makwanpur	0.122469810890864	0.24738604524021	0.0756551298358363	0.052703963848912	0.0605571847507331	0.272105263157895	0.054392167527876	0.0828389429033716	0.0722776839195208	0.201927537964845
Nuwakot	0.137899293688767	6.83386865304449e-05	0.0710136195598004	0.0676236553858244	0.0484970674486804	0.0839473684210526	0.0605566131810353	0.0818040027404049	0.105882352941176	0.149362668898721
Okhaldhunga	0.0375757575757576	0.00013667737306089	0.0668481616197681	0.0465887322560047	0.0616446725317693	0.0352631578947368	0.0275586982141238	0.0322143346500882	0.237045000767931	0.0181561640559608
Ramechhap	0.0269036226930964	0.0362195038611358	0.115338555032394	0.0722776167788202	0.0789222873900293	0.03	0.0639107968452543	0.108624987245456	0.114329596068192	0.057046514408705
Rasuwa	0.0166416040100251	0	0.00139096541926078	0.00438381059973476	0.0141006842619746	0.00368421052631579	0.00027196083763938	0.00348381266125388	0.00168944862540316	0.0408705010163817
Sindhuli	0.0537252221462748	0.0102508029795667	0.0758857176860881	0.162643057124613	0.122751710654936	0.268684210526316	0.0550267428157012	0.0646764718744078	0.0976194133005683	0.0771349994021284
Sindhupalchok	0.0905354294827979	0.0966309027540491	0.138300641926822	0.109889974949654	0.0397727272727273	0.0542105263157895	0.221557429063548	0.152806728568721	0.122746121947474	0.147305990673203
