Ethnicity	EducationLevel	GeoRegion	IncomeGroup	source_cooking_fuel_post_eq	Freq
Chettri	University	Himalayan	50000-ABOVE	Kerosene	0
Chettri	University	Himalayan	50000-ABOVE	LP Gas	62
Chettri	University	Himalayan	50000-ABOVE	Others	0
Chettri	University	Himalayan	50000-ABOVE	Wood	47
Dalit	Illiterate	Hilly	0-10000	Electricity	2
Dalit	Illiterate	Hilly	0-10000	Gobar Gas	150
Dalit	Illiterate	Hilly	0-10000	Kerosene	4
Dalit	Illiterate	Hilly	0-10000	LP Gas	191
Dalit	Illiterate	Hilly	0-10000	Others	10
Dalit	Illiterate	Hilly	0-10000	Wood	16560
Dalit	Illiterate	Hilly	10000-20000	Electricity	0
Dalit	Illiterate	Hilly	10000-20000	Gobar Gas	98
Dalit	Illiterate	Hilly	10000-20000	Kerosene	2
Dalit	Illiterate	Hilly	10000-20000	LP Gas	279
Dalit	Illiterate	Hilly	10000-20000	Others	1
Dalit	Illiterate	Hilly	10000-20000	Wood	4195
Dalit	Illiterate	Hilly	20000-30000	Electricity	0
Dalit	Illiterate	Hilly	20000-30000	Gobar Gas	25
Dalit	Illiterate	Hilly	20000-30000	Kerosene	1
Dalit	Illiterate	Hilly	20000-30000	LP Gas	114
Dalit	Illiterate	Hilly	20000-30000	Others	0
Dalit	Illiterate	Hilly	20000-30000	Wood	992
Dalit	Illiterate	Hilly	30000-50000	Electricity	0
Dalit	Illiterate	Hilly	30000-50000	Gobar Gas	6
Dalit	Illiterate	Hilly	30000-50000	Kerosene	0
Dalit	Illiterate	Hilly	30000-50000	LP Gas	34
Dalit	Illiterate	Hilly	30000-50000	Others	0
Dalit	Illiterate	Hilly	30000-50000	Wood	171
Dalit	Illiterate	Hilly	50000-ABOVE	Electricity	0
Dalit	Illiterate	Hilly	50000-ABOVE	Gobar Gas	2
Dalit	Illiterate	Hilly	50000-ABOVE	Kerosene	0
Dalit	Illiterate	Hilly	50000-ABOVE	LP Gas	12
Dalit	Illiterate	Hilly	50000-ABOVE	Others	0
Dalit	Illiterate	Hilly	50000-ABOVE	Wood	44
Dalit	Illiterate	Himalayan	0-10000	Electricity	1
Dalit	Illiterate	Himalayan	0-10000	Gobar Gas	74
Dalit	Illiterate	Himalayan	0-10000	Kerosene	2
Dalit	Illiterate	Himalayan	0-10000	LP Gas	105
Dalit	Illiterate	Himalayan	0-10000	Others	3
Dalit	Illiterate	Himalayan	0-10000	Wood	8369
Dalit	Illiterate	Himalayan	10000-20000	Electricity	1
Dalit	Illiterate	Himalayan	10000-20000	Gobar Gas	13
Dalit	Illiterate	Himalayan	10000-20000	Kerosene	3
Dalit	Illiterate	Himalayan	10000-20000	LP Gas	106
Dalit	Illiterate	Himalayan	10000-20000	Others	0
Dalit	Illiterate	Himalayan	10000-20000	Wood	2371
Dalit	Illiterate	Himalayan	20000-30000	Electricity	0
Dalit	Illiterate	Himalayan	20000-30000	Gobar Gas	4
Dalit	Illiterate	Himalayan	20000-30000	Kerosene	1
Dalit	Illiterate	Himalayan	20000-30000	LP Gas	42
Dalit	Illiterate	Himalayan	20000-30000	Others	0
Dalit	Illiterate	Himalayan	20000-30000	Wood	554
Dalit	Illiterate	Himalayan	30000-50000	Electricity	0
Dalit	Illiterate	Himalayan	30000-50000	Gobar Gas	0
Dalit	Illiterate	Himalayan	30000-50000	Kerosene	0
Dalit	Illiterate	Himalayan	30000-50000	LP Gas	8
Dalit	Illiterate	Himalayan	30000-50000	Others	0
Dalit	Illiterate	Himalayan	30000-50000	Wood	119
Dalit	Illiterate	Himalayan	50000-ABOVE	Electricity	0
Dalit	Illiterate	Himalayan	50000-ABOVE	Gobar Gas	0
Dalit	Illiterate	Himalayan	50000-ABOVE	Kerosene	0
Dalit	Illiterate	Himalayan	50000-ABOVE	LP Gas	3
Dalit	Illiterate	Himalayan	50000-ABOVE	Others	0
Dalit	Illiterate	Himalayan	50000-ABOVE	Wood	35
Dalit	NonFormal-Other	Hilly	0-10000	Electricity	0
Dalit	NonFormal-Other	Hilly	0-10000	Gobar Gas	53
Dalit	NonFormal-Other	Hilly	0-10000	Kerosene	1
Dalit	NonFormal-Other	Hilly	0-10000	LP Gas	167
Dalit	NonFormal-Other	Hilly	0-10000	Others	5
Dalit	NonFormal-Other	Hilly	0-10000	Wood	7186
Dalit	NonFormal-Other	Hilly	10000-20000	Electricity	1
Dalit	NonFormal-Other	Hilly	10000-20000	Gobar Gas	57
Dalit	NonFormal-Other	Hilly	10000-20000	Kerosene	0
Dalit	NonFormal-Other	Hilly	10000-20000	LP Gas	282
Dalit	NonFormal-Other	Hilly	10000-20000	Others	2
Dalit	NonFormal-Other	Hilly	10000-20000	Wood	2828
Dalit	NonFormal-Other	Hilly	20000-30000	Electricity	0
Dalit	NonFormal-Other	Hilly	20000-30000	Gobar Gas	11
Dalit	NonFormal-Other	Hilly	20000-30000	Kerosene	1
Dalit	NonFormal-Other	Hilly	20000-30000	LP Gas	145
Dalit	NonFormal-Other	Hilly	20000-30000	Others	0
Dalit	NonFormal-Other	Hilly	20000-30000	Wood	746
Dalit	NonFormal-Other	Hilly	30000-50000	Electricity	0
Dalit	NonFormal-Other	Hilly	30000-50000	Gobar Gas	0
Dalit	NonFormal-Other	Hilly	30000-50000	Kerosene	0
Dalit	NonFormal-Other	Hilly	30000-50000	LP Gas	25
Dalit	NonFormal-Other	Hilly	30000-50000	Others	0
Dalit	NonFormal-Other	Hilly	30000-50000	Wood	125
Dalit	NonFormal-Other	Hilly	50000-ABOVE	Electricity	0
Dalit	NonFormal-Other	Hilly	50000-ABOVE	Gobar Gas	1
Dalit	NonFormal-Other	Hilly	50000-ABOVE	Kerosene	0
Dalit	NonFormal-Other	Hilly	50000-ABOVE	LP Gas	12
Dalit	NonFormal-Other	Hilly	50000-ABOVE	Others	0
Dalit	NonFormal-Other	Hilly	50000-ABOVE	Wood	29
Dalit	NonFormal-Other	Himalayan	0-10000	Electricity	0
Dalit	NonFormal-Other	Himalayan	0-10000	Gobar Gas	18
Dalit	NonFormal-Other	Himalayan	0-10000	Kerosene	1
Dalit	NonFormal-Other	Himalayan	0-10000	LP Gas	38
Dalit	NonFormal-Other	Himalayan	0-10000	Others	1
Dalit	NonFormal-Other	Himalayan	0-10000	Wood	3447
Dalit	NonFormal-Other	Himalayan	10000-20000	Electricity	0
Dalit	NonFormal-Other	Himalayan	10000-20000	Gobar Gas	12
Dalit	NonFormal-Other	Himalayan	10000-20000	Kerosene	1
Dalit	NonFormal-Other	Himalayan	10000-20000	LP Gas	102
Dalit	NonFormal-Other	Himalayan	10000-20000	Others	0
Dalit	NonFormal-Other	Himalayan	10000-20000	Wood	1723
Dalit	NonFormal-Other	Himalayan	20000-30000	Electricity	0
Dalit	NonFormal-Other	Himalayan	20000-30000	Gobar Gas	0
Dalit	NonFormal-Other	Himalayan	20000-30000	Kerosene	1
Dalit	NonFormal-Other	Himalayan	20000-30000	LP Gas	40
Dalit	NonFormal-Other	Himalayan	20000-30000	Others	0
Dalit	NonFormal-Other	Himalayan	20000-30000	Wood	397
Dalit	NonFormal-Other	Himalayan	30000-50000	Electricity	0
Dalit	NonFormal-Other	Himalayan	30000-50000	Gobar Gas	1
Dalit	NonFormal-Other	Himalayan	30000-50000	Kerosene	0
Dalit	NonFormal-Other	Himalayan	30000-50000	LP Gas	15
Dalit	NonFormal-Other	Himalayan	30000-50000	Others	0
Dalit	NonFormal-Other	Himalayan	30000-50000	Wood	85
Dalit	NonFormal-Other	Himalayan	50000-ABOVE	Electricity	0
Dalit	NonFormal-Other	Himalayan	50000-ABOVE	Gobar Gas	0
Dalit	NonFormal-Other	Himalayan	50000-ABOVE	Kerosene	0
Dalit	NonFormal-Other	Himalayan	50000-ABOVE	LP Gas	6
Dalit	NonFormal-Other	Himalayan	50000-ABOVE	Others	0
Dalit	NonFormal-Other	Himalayan	50000-ABOVE	Wood	21
Dalit	Primary	Hilly	0-10000	Electricity	0
Dalit	Primary	Hilly	0-10000	Gobar Gas	93
Dalit	Primary	Hilly	0-10000	Kerosene	2
Dalit	Primary	Hilly	0-10000	LP Gas	224
Dalit	Primary	Hilly	0-10000	Others	3
Dalit	Primary	Hilly	0-10000	Wood	7663
Dalit	Primary	Hilly	10000-20000	Electricity	0
Dalit	Primary	Hilly	10000-20000	Gobar Gas	113
Dalit	Primary	Hilly	10000-20000	Kerosene	3
Dalit	Primary	Hilly	10000-20000	LP Gas	557
Dalit	Primary	Hilly	10000-20000	Others	0
Dalit	Primary	Hilly	10000-20000	Wood	3803
Dalit	Primary	Hilly	20000-30000	Electricity	0
Dalit	Primary	Hilly	20000-30000	Gobar Gas	24
Dalit	Primary	Hilly	20000-30000	Kerosene	0
Dalit	Primary	Hilly	20000-30000	LP Gas	228
Dalit	Primary	Hilly	20000-30000	Others	1
Dalit	Primary	Hilly	20000-30000	Wood	807
Dalit	Primary	Hilly	30000-50000	Electricity	0
Dalit	Primary	Hilly	30000-50000	Gobar Gas	7
Dalit	Primary	Hilly	30000-50000	Kerosene	0
Dalit	Primary	Hilly	30000-50000	LP Gas	43
Dalit	Primary	Hilly	30000-50000	Others	0
Dalit	Primary	Hilly	30000-50000	Wood	152
Dalit	Primary	Hilly	50000-ABOVE	Electricity	0
Dalit	Primary	Hilly	50000-ABOVE	Gobar Gas	0
Dalit	Primary	Hilly	50000-ABOVE	Kerosene	0
Dalit	Primary	Hilly	50000-ABOVE	LP Gas	16
Dalit	Primary	Hilly	50000-ABOVE	Others	0
Dalit	Primary	Hilly	50000-ABOVE	Wood	29
Dalit	Primary	Himalayan	0-10000	Electricity	1
Dalit	Primary	Himalayan	0-10000	Gobar Gas	36
Dalit	Primary	Himalayan	0-10000	Kerosene	2
Dalit	Primary	Himalayan	0-10000	LP Gas	106
Dalit	Primary	Himalayan	0-10000	Others	5
Dalit	Primary	Himalayan	0-10000	Wood	4011
Dalit	Primary	Himalayan	10000-20000	Electricity	1
Dalit	Primary	Himalayan	10000-20000	Gobar Gas	17
Dalit	Primary	Himalayan	10000-20000	Kerosene	1
Dalit	Primary	Himalayan	10000-20000	LP Gas	247
Dalit	Primary	Himalayan	10000-20000	Others	1
Dalit	Primary	Himalayan	10000-20000	Wood	2602
Dalit	Primary	Himalayan	20000-30000	Electricity	0
Dalit	Primary	Himalayan	20000-30000	Gobar Gas	3
Dalit	Primary	Himalayan	20000-30000	Kerosene	1
Dalit	Primary	Himalayan	20000-30000	LP Gas	120
Dalit	Primary	Himalayan	20000-30000	Others	0
Dalit	Primary	Himalayan	20000-30000	Wood	539
Dalit	Primary	Himalayan	30000-50000	Electricity	0
Dalit	Primary	Himalayan	30000-50000	Gobar Gas	1
Dalit	Primary	Himalayan	30000-50000	Kerosene	0
Dalit	Primary	Himalayan	30000-50000	LP Gas	44
Dalit	Primary	Himalayan	30000-50000	Others	0
Dalit	Primary	Himalayan	30000-50000	Wood	102
Dalit	Primary	Himalayan	50000-ABOVE	Electricity	0
Dalit	Primary	Himalayan	50000-ABOVE	Gobar Gas	0
Dalit	Primary	Himalayan	50000-ABOVE	Kerosene	0
Dalit	Primary	Himalayan	50000-ABOVE	LP Gas	10
Dalit	Primary	Himalayan	50000-ABOVE	Others	0
Dalit	Primary	Himalayan	50000-ABOVE	Wood	17
Dalit	Secondary	Hilly	0-10000	Electricity	2
Dalit	Secondary	Hilly	0-10000	Gobar Gas	26
Dalit	Secondary	Hilly	0-10000	Kerosene	0
Dalit	Secondary	Hilly	0-10000	LP Gas	147
Dalit	Secondary	Hilly	0-10000	Others	1
Dalit	Secondary	Hilly	0-10000	Wood	2067
Dalit	Secondary	Hilly	10000-20000	Electricity	1
Dalit	Secondary	Hilly	10000-20000	Gobar Gas	29
Dalit	Secondary	Hilly	10000-20000	Kerosene	1
Dalit	Secondary	Hilly	10000-20000	LP Gas	343
Dalit	Secondary	Hilly	10000-20000	Others	3
Dalit	Secondary	Hilly	10000-20000	Wood	1378
Dalit	Secondary	Hilly	20000-30000	Electricity	0
Dalit	Secondary	Hilly	20000-30000	Gobar Gas	10
Dalit	Secondary	Hilly	20000-30000	Kerosene	1
Dalit	Secondary	Hilly	20000-30000	LP Gas	179
Dalit	Secondary	Hilly	20000-30000	Others	1
Dalit	Secondary	Hilly	20000-30000	Wood	348
Dalit	Secondary	Hilly	30000-50000	Electricity	0
Dalit	Secondary	Hilly	30000-50000	Gobar Gas	3
Dalit	Secondary	Hilly	30000-50000	Kerosene	0
Dalit	Secondary	Hilly	30000-50000	LP Gas	47
Dalit	Secondary	Hilly	30000-50000	Others	0
Dalit	Secondary	Hilly	30000-50000	Wood	62
Dalit	Secondary	Hilly	50000-ABOVE	Electricity	0
Dalit	Secondary	Hilly	50000-ABOVE	Gobar Gas	0
Dalit	Secondary	Hilly	50000-ABOVE	Kerosene	0
Dalit	Secondary	Hilly	50000-ABOVE	LP Gas	7
Dalit	Secondary	Hilly	50000-ABOVE	Others	0
Dalit	Secondary	Hilly	50000-ABOVE	Wood	13
Dalit	Secondary	Himalayan	0-10000	Electricity	0
Dalit	Secondary	Himalayan	0-10000	Gobar Gas	24
Dalit	Secondary	Himalayan	0-10000	Kerosene	1
Dalit	Secondary	Himalayan	0-10000	LP Gas	43
Dalit	Secondary	Himalayan	0-10000	Others	2
Dalit	Secondary	Himalayan	0-10000	Wood	991
Dalit	Secondary	Himalayan	10000-20000	Electricity	0
Dalit	Secondary	Himalayan	10000-20000	Gobar Gas	5
Dalit	Secondary	Himalayan	10000-20000	Kerosene	0
Dalit	Secondary	Himalayan	10000-20000	LP Gas	119
Dalit	Secondary	Himalayan	10000-20000	Others	1
Dalit	Secondary	Himalayan	10000-20000	Wood	914
Dalit	Secondary	Himalayan	20000-30000	Electricity	0
Dalit	Secondary	Himalayan	20000-30000	Gobar Gas	2
Dalit	Secondary	Himalayan	20000-30000	Kerosene	0
Dalit	Secondary	Himalayan	20000-30000	LP Gas	53
Dalit	Secondary	Himalayan	20000-30000	Others	0
Dalit	Secondary	Himalayan	20000-30000	Wood	245
Dalit	Secondary	Himalayan	30000-50000	Electricity	0
Dalit	Secondary	Himalayan	30000-50000	Gobar Gas	0
Dalit	Secondary	Himalayan	30000-50000	Kerosene	0
Dalit	Secondary	Himalayan	30000-50000	LP Gas	26
Dalit	Secondary	Himalayan	30000-50000	Others	0
Dalit	Secondary	Himalayan	30000-50000	Wood	56
Dalit	Secondary	Himalayan	50000-ABOVE	Electricity	0
Dalit	Secondary	Himalayan	50000-ABOVE	Gobar Gas	0
Dalit	Secondary	Himalayan	50000-ABOVE	Kerosene	0
Dalit	Secondary	Himalayan	50000-ABOVE	LP Gas	5
Dalit	Secondary	Himalayan	50000-ABOVE	Others	1
Dalit	Secondary	Himalayan	50000-ABOVE	Wood	14
Dalit	University	Hilly	0-10000	Electricity	0
Dalit	University	Hilly	0-10000	Gobar Gas	1
Dalit	University	Hilly	0-10000	Kerosene	0
Dalit	University	Hilly	0-10000	LP Gas	11
Dalit	University	Hilly	0-10000	Others	0
Dalit	University	Hilly	0-10000	Wood	33
Dalit	University	Hilly	10000-20000	Electricity	0
Dalit	University	Hilly	10000-20000	Gobar Gas	1
Dalit	University	Hilly	10000-20000	Kerosene	0
Dalit	University	Hilly	10000-20000	LP Gas	24
Dalit	University	Hilly	10000-20000	Others	0
Dalit	University	Hilly	10000-20000	Wood	72
Dalit	University	Hilly	20000-30000	Electricity	0
Dalit	University	Hilly	20000-30000	Gobar Gas	1
Dalit	University	Hilly	20000-30000	Kerosene	0
Dalit	University	Hilly	20000-30000	LP Gas	20
Dalit	University	Hilly	20000-30000	Others	0
Dalit	University	Hilly	20000-30000	Wood	22
Dalit	University	Hilly	30000-50000	Electricity	0
Dalit	University	Hilly	30000-50000	Gobar Gas	0
Dalit	University	Hilly	30000-50000	Kerosene	0
Dalit	University	Hilly	30000-50000	LP Gas	9
Dalit	University	Hilly	30000-50000	Others	0
Dalit	University	Hilly	30000-50000	Wood	8
Dalit	University	Hilly	50000-ABOVE	Electricity	0
Dalit	University	Hilly	50000-ABOVE	Gobar Gas	0
Dalit	University	Hilly	50000-ABOVE	Kerosene	0
Dalit	University	Hilly	50000-ABOVE	LP Gas	5
Dalit	University	Hilly	50000-ABOVE	Others	0
Dalit	University	Hilly	50000-ABOVE	Wood	1
Dalit	University	Himalayan	0-10000	Electricity	0
Dalit	University	Himalayan	0-10000	Gobar Gas	0
Dalit	University	Himalayan	0-10000	Kerosene	0
Dalit	University	Himalayan	0-10000	LP Gas	1
Dalit	University	Himalayan	0-10000	Others	0
Dalit	University	Himalayan	0-10000	Wood	16
Dalit	University	Himalayan	10000-20000	Electricity	0
Dalit	University	Himalayan	10000-20000	Gobar Gas	1
Dalit	University	Himalayan	10000-20000	Kerosene	0
Dalit	University	Himalayan	10000-20000	LP Gas	13
Dalit	University	Himalayan	10000-20000	Others	0
Dalit	University	Himalayan	10000-20000	Wood	61
Dalit	University	Himalayan	20000-30000	Electricity	0
Dalit	University	Himalayan	20000-30000	Gobar Gas	0
Dalit	University	Himalayan	20000-30000	Kerosene	0
Dalit	University	Himalayan	20000-30000	LP Gas	11
Dalit	University	Himalayan	20000-30000	Others	0
Dalit	University	Himalayan	20000-30000	Wood	17
Dalit	University	Himalayan	30000-50000	Electricity	0
Dalit	University	Himalayan	30000-50000	Gobar Gas	0
Dalit	University	Himalayan	30000-50000	Kerosene	0
Dalit	University	Himalayan	30000-50000	LP Gas	3
Dalit	University	Himalayan	30000-50000	Others	0
Dalit	University	Himalayan	30000-50000	Wood	4
Dalit	University	Himalayan	50000-ABOVE	Electricity	0
Dalit	University	Himalayan	50000-ABOVE	Gobar Gas	0
Dalit	University	Himalayan	50000-ABOVE	Kerosene	0
Dalit	University	Himalayan	50000-ABOVE	LP Gas	0
Dalit	University	Himalayan	50000-ABOVE	Others	1
Dalit	University	Himalayan	50000-ABOVE	Wood	1
Gurung-Magar	Illiterate	Hilly	0-10000	Electricity	2
Gurung-Magar	Illiterate	Hilly	0-10000	Gobar Gas	78
Gurung-Magar	Illiterate	Hilly	0-10000	Kerosene	4
Gurung-Magar	Illiterate	Hilly	0-10000	LP Gas	205
Gurung-Magar	Illiterate	Hilly	0-10000	Others	6
Gurung-Magar	Illiterate	Hilly	0-10000	Wood	12736
Gurung-Magar	Illiterate	Hilly	10000-20000	Electricity	1
Gurung-Magar	Illiterate	Hilly	10000-20000	Gobar Gas	86
Gurung-Magar	Illiterate	Hilly	10000-20000	Kerosene	3
Gurung-Magar	Illiterate	Hilly	10000-20000	LP Gas	272
Gurung-Magar	Illiterate	Hilly	10000-20000	Others	1
Gurung-Magar	Illiterate	Hilly	10000-20000	Wood	3162
Gurung-Magar	Illiterate	Hilly	20000-30000	Electricity	0
Gurung-Magar	Illiterate	Hilly	20000-30000	Gobar Gas	34
Gurung-Magar	Illiterate	Hilly	20000-30000	Kerosene	0
Gurung-Magar	Illiterate	Hilly	20000-30000	LP Gas	122
Gurung-Magar	Illiterate	Hilly	20000-30000	Others	0
Gurung-Magar	Illiterate	Hilly	20000-30000	Wood	695
Gurung-Magar	Illiterate	Hilly	30000-50000	Electricity	0
Gurung-Magar	Illiterate	Hilly	30000-50000	Gobar Gas	6
Gurung-Magar	Illiterate	Hilly	30000-50000	Kerosene	0
Gurung-Magar	Illiterate	Hilly	30000-50000	LP Gas	30
Gurung-Magar	Illiterate	Hilly	30000-50000	Others	0
Gurung-Magar	Illiterate	Hilly	30000-50000	Wood	162
Gurung-Magar	Illiterate	Hilly	50000-ABOVE	Electricity	0
Gurung-Magar	Illiterate	Hilly	50000-ABOVE	Gobar Gas	1
Gurung-Magar	Illiterate	Hilly	50000-ABOVE	Kerosene	0
Gurung-Magar	Illiterate	Hilly	50000-ABOVE	LP Gas	19
Gurung-Magar	Illiterate	Hilly	50000-ABOVE	Others	1
Gurung-Magar	Illiterate	Hilly	50000-ABOVE	Wood	79
Gurung-Magar	Illiterate	Himalayan	0-10000	Electricity	1
Gurung-Magar	Illiterate	Himalayan	0-10000	Gobar Gas	7
Gurung-Magar	Illiterate	Himalayan	0-10000	Kerosene	0
Gurung-Magar	Illiterate	Himalayan	0-10000	LP Gas	68
Gurung-Magar	Illiterate	Himalayan	0-10000	Others	1
Gurung-Magar	Illiterate	Himalayan	0-10000	Wood	8923
Gurung-Magar	Illiterate	Himalayan	10000-20000	Electricity	1
Gurung-Magar	Illiterate	Himalayan	10000-20000	Gobar Gas	5
Gurung-Magar	Illiterate	Himalayan	10000-20000	Kerosene	0
Gurung-Magar	Illiterate	Himalayan	10000-20000	LP Gas	84
Gurung-Magar	Illiterate	Himalayan	10000-20000	Others	2
Gurung-Magar	Illiterate	Himalayan	10000-20000	Wood	3065
Gurung-Magar	Illiterate	Himalayan	20000-30000	Electricity	0
Gurung-Magar	Illiterate	Himalayan	20000-30000	Gobar Gas	2
Gurung-Magar	Illiterate	Himalayan	20000-30000	Kerosene	0
Gurung-Magar	Illiterate	Himalayan	20000-30000	LP Gas	55
Gurung-Magar	Illiterate	Himalayan	20000-30000	Others	0
Gurung-Magar	Illiterate	Himalayan	20000-30000	Wood	1025
Gurung-Magar	Illiterate	Himalayan	30000-50000	Electricity	0
Gurung-Magar	Illiterate	Himalayan	30000-50000	Gobar Gas	1
Gurung-Magar	Illiterate	Himalayan	30000-50000	Kerosene	0
Gurung-Magar	Illiterate	Himalayan	30000-50000	LP Gas	27
Gurung-Magar	Illiterate	Himalayan	30000-50000	Others	0
Gurung-Magar	Illiterate	Himalayan	30000-50000	Wood	347
Gurung-Magar	Illiterate	Himalayan	50000-ABOVE	Electricity	0
Gurung-Magar	Illiterate	Himalayan	50000-ABOVE	Gobar Gas	0
Gurung-Magar	Illiterate	Himalayan	50000-ABOVE	Kerosene	0
Gurung-Magar	Illiterate	Himalayan	50000-ABOVE	LP Gas	25
Gurung-Magar	Illiterate	Himalayan	50000-ABOVE	Others	0
Gurung-Magar	Illiterate	Himalayan	50000-ABOVE	Wood	106
Gurung-Magar	NonFormal-Other	Hilly	0-10000	Electricity	2
Gurung-Magar	NonFormal-Other	Hilly	0-10000	Gobar Gas	57
Gurung-Magar	NonFormal-Other	Hilly	0-10000	Kerosene	0
Gurung-Magar	NonFormal-Other	Hilly	0-10000	LP Gas	198
Gurung-Magar	NonFormal-Other	Hilly	0-10000	Others	2
Gurung-Magar	NonFormal-Other	Hilly	0-10000	Wood	7670
Gurung-Magar	NonFormal-Other	Hilly	10000-20000	Electricity	0
Gurung-Magar	NonFormal-Other	Hilly	10000-20000	Gobar Gas	72
Gurung-Magar	NonFormal-Other	Hilly	10000-20000	Kerosene	0
Gurung-Magar	NonFormal-Other	Hilly	10000-20000	LP Gas	412
Gurung-Magar	NonFormal-Other	Hilly	10000-20000	Others	1
Gurung-Magar	NonFormal-Other	Hilly	10000-20000	Wood	3315
Gurung-Magar	NonFormal-Other	Hilly	20000-30000	Electricity	0
Gurung-Magar	NonFormal-Other	Hilly	20000-30000	Gobar Gas	28
Gurung-Magar	NonFormal-Other	Hilly	20000-30000	Kerosene	0
Gurung-Magar	NonFormal-Other	Hilly	20000-30000	LP Gas	227
Gurung-Magar	NonFormal-Other	Hilly	20000-30000	Others	0
Gurung-Magar	NonFormal-Other	Hilly	20000-30000	Wood	910
Gurung-Magar	NonFormal-Other	Hilly	30000-50000	Electricity	0
Gurung-Magar	NonFormal-Other	Hilly	30000-50000	Gobar Gas	7
Gurung-Magar	NonFormal-Other	Hilly	30000-50000	Kerosene	0
Gurung-Magar	NonFormal-Other	Hilly	30000-50000	LP Gas	67
Gurung-Magar	NonFormal-Other	Hilly	30000-50000	Others	0
Gurung-Magar	NonFormal-Other	Hilly	30000-50000	Wood	199
Gurung-Magar	NonFormal-Other	Hilly	50000-ABOVE	Electricity	0
Gurung-Magar	NonFormal-Other	Hilly	50000-ABOVE	Gobar Gas	1
Gurung-Magar	NonFormal-Other	Hilly	50000-ABOVE	Kerosene	0
Gurung-Magar	NonFormal-Other	Hilly	50000-ABOVE	LP Gas	19
Gurung-Magar	NonFormal-Other	Hilly	50000-ABOVE	Others	0
Gurung-Magar	NonFormal-Other	Hilly	50000-ABOVE	Wood	56
Gurung-Magar	NonFormal-Other	Himalayan	0-10000	Electricity	2
Gurung-Magar	NonFormal-Other	Himalayan	0-10000	Gobar Gas	6
Gurung-Magar	NonFormal-Other	Himalayan	0-10000	Kerosene	2
Gurung-Magar	NonFormal-Other	Himalayan	0-10000	LP Gas	52
Gurung-Magar	NonFormal-Other	Himalayan	0-10000	Others	3
Gurung-Magar	NonFormal-Other	Himalayan	0-10000	Wood	2819
Gurung-Magar	NonFormal-Other	Himalayan	10000-20000	Electricity	0
Gurung-Magar	NonFormal-Other	Himalayan	10000-20000	Gobar Gas	7
Gurung-Magar	NonFormal-Other	Himalayan	10000-20000	Kerosene	1
Gurung-Magar	NonFormal-Other	Himalayan	10000-20000	LP Gas	115
Gurung-Magar	NonFormal-Other	Himalayan	10000-20000	Others	1
Gurung-Magar	NonFormal-Other	Himalayan	10000-20000	Wood	1806
Gurung-Magar	NonFormal-Other	Himalayan	20000-30000	Electricity	1
Gurung-Magar	NonFormal-Other	Himalayan	20000-30000	Gobar Gas	3
Gurung-Magar	NonFormal-Other	Himalayan	20000-30000	Kerosene	0
Gurung-Magar	NonFormal-Other	Himalayan	20000-30000	LP Gas	66
Gurung-Magar	NonFormal-Other	Himalayan	20000-30000	Others	0
Gurung-Magar	NonFormal-Other	Himalayan	20000-30000	Wood	672
Gurung-Magar	NonFormal-Other	Himalayan	30000-50000	Electricity	0
Gurung-Magar	NonFormal-Other	Himalayan	30000-50000	Gobar Gas	2
Gurung-Magar	NonFormal-Other	Himalayan	30000-50000	Kerosene	0
Gurung-Magar	NonFormal-Other	Himalayan	30000-50000	LP Gas	43
Gurung-Magar	NonFormal-Other	Himalayan	30000-50000	Others	0
Gurung-Magar	NonFormal-Other	Himalayan	30000-50000	Wood	205
Gurung-Magar	NonFormal-Other	Himalayan	50000-ABOVE	Electricity	0
Gurung-Magar	NonFormal-Other	Himalayan	50000-ABOVE	Gobar Gas	0
Gurung-Magar	NonFormal-Other	Himalayan	50000-ABOVE	Kerosene	0
Gurung-Magar	NonFormal-Other	Himalayan	50000-ABOVE	LP Gas	29
Gurung-Magar	NonFormal-Other	Himalayan	50000-ABOVE	Others	0
Gurung-Magar	NonFormal-Other	Himalayan	50000-ABOVE	Wood	68
Gurung-Magar	Primary	Hilly	0-10000	Electricity	1
Gurung-Magar	Primary	Hilly	0-10000	Gobar Gas	71
Gurung-Magar	Primary	Hilly	0-10000	Kerosene	1
Gurung-Magar	Primary	Hilly	0-10000	LP Gas	275
Gurung-Magar	Primary	Hilly	0-10000	Others	6
Gurung-Magar	Primary	Hilly	0-10000	Wood	6962
Gurung-Magar	Primary	Hilly	10000-20000	Electricity	0
Gurung-Magar	Primary	Hilly	10000-20000	Gobar Gas	107
Gurung-Magar	Primary	Hilly	10000-20000	Kerosene	2
Gurung-Magar	Primary	Hilly	10000-20000	LP Gas	641
Gurung-Magar	Primary	Hilly	10000-20000	Others	3
Gurung-Magar	Primary	Hilly	10000-20000	Wood	3076
Gurung-Magar	Primary	Hilly	20000-30000	Electricity	0
Gurung-Magar	Primary	Hilly	20000-30000	Gobar Gas	34
Gurung-Magar	Primary	Hilly	20000-30000	Kerosene	0
Gurung-Magar	Primary	Hilly	20000-30000	LP Gas	319
Gurung-Magar	Primary	Hilly	20000-30000	Others	2
Gurung-Magar	Primary	Hilly	20000-30000	Wood	753
Gurung-Magar	Primary	Hilly	30000-50000	Electricity	0
Gurung-Magar	Primary	Hilly	30000-50000	Gobar Gas	12
Gurung-Magar	Primary	Hilly	30000-50000	Kerosene	0
Gurung-Magar	Primary	Hilly	30000-50000	LP Gas	76
